Sentence Index,Sentence
3243,Group amend longterm loan agreement change interest rate MTHBFIX plus margin    THOR plus margin August   
3244,movement longterm borrowing related ies year end December       follow   
3245,unit    Million Baht       consolidated       financial statement                     December     December              Longterm borrowing related party        January         Decrease         December             note financial statement Advanced Info Service Public Company Limited subsidiary year end December    Chairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
3246,GovernanceManagement StructureInternal ControlFinancial Statement Annual Report    form    Report    l    Advanced Info Service Public Company Limited     ADVANCED    INFO    SERVICE    PUBLIC    COMPANY    LIMITED          subsidiary    note          FINANCIAL    statement          year    ended    DECEMBER                significant agreement relate party    Group Company enter agreeme nt related party
3247,commitment    receipt payment accord rate term condition stipulate agreeman ts  
3248,significant agreement relate party    follow  
3249,Group enter interconnection agreeman ts related party
3250,termination    suspension agreement refer regulation condition National    Telecommunications Commission  
3252,Group enter site share agreement related party provide site area include related facility installation telecommunication equipment
3253,counterparty right terminate agreement advance write notice    day  
3254,subsidiary receive service center Advanced Contact Center Co Ltd    ACC subsidiary
3255,ACC provide information    service include problem resolution    customer Group  
3256,   Advanced Contact Center Co Ltd subsidiary ha s enter center service agreement    Teleinfo Media Plc
3257,tmc indirect subsidiary
3258,TMC arrange personnel    provide center operation service
3259,counterp arty right terminate agreement    advance write notice    day   
3260,Group enter agreement Advanced Mpay Co Ltd subsidiary provide    payment service goodsservice purchase    electronic payment cash card
3261,   counterparty right terminate agreement    advance write notice     day  
3262,   Advanced Magic Card Co Ltd Advanced Mpay Co Ltd subsidiary enter                   agreement AIS Digital Life Co Ltd subsidiary distribute electronic money cash    card
3263,counterparty right terminate agreement advance write notice    day  
3265,Group enter agreement AIS Digital Life Co Ltd subsidiary provide    card packaging
3266,counterparty right ter minate agreement advance write    notice    day  
3268,Group enter international roaming service agreement Singtel Group         
3269,counterparty right terminate agreement advance write notice       day  
3270,Group enter agreement MIMO Tech Co Ltd subsidiary     ad Venture Public Co Ltd indirect subsidiary provide aggregate value add service    mobile network wireless device Content Aggregator
3271,counterparty right    terminate agreement advance write notice    day
3272,     Advanced Wireless Network Co Ltd AWN subsidiary enter satellite    transponder lease agreement Thaicom Public Com pany Limited relate party AWN agree    pay service fee monthly basis accord rate condition specify agreement  
3273,agreement valid November        
3274,note financial statement Advanced Info Service Public Company Limited subsidiary year end December    Chairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
3275,GovernanceManagement StructureInternal ControlFinancial Statement Annual Report    form    Report    l    Advanced Info Service Public Company Limited     ADVANCED    INFO    SERVICE    PUBLIC    COMPANY    LIMITED          subsidiary    note          FINANCIAL    statement          year    ended    DECEMBER                 Advanced Wireless Network Co Ltd subsidiary enter fibre optic system site    facility agreement Information Highway Co Ltd ih associate  
3276,IH provide    installation fibre optic transmission maintenance service specific area
3277,counterparty    right terminate agreement th e counterparty advance write notice       day
3278,    Advanced Wireless Network Co Ltd subsidiary enter agreement     TC Broadcasting Company Limited relate party t o receive satellite equipment system    television signal service
3279,counterparty r ight terminate agreement    counterparty advance write notice    day
3280,    Super Broadband Network Co Ltd subsidiary enter agreement Advanced Wireless Network Co Ltd AWN subsidiary rent telecommunication equipment
3281,   counterparty right terminate agreement counterparty advance write    notice    day     Advanced Wireless Network Co Ltd subsidiary CS Loxinfo Public Company Limited    indirect subsidiary enter agreement develop infrastructure fibre optic    network Amata Network Co Ltd    joint venture
3282,counterparty right te rminate    agreement counterparty advance write notice    day
3283,    Advanced Mpay Co Ltd subsidiary enter agreement RabbitLine Pay    Co Ltd joint venture receive electronic money electronic payment service   
3284,counterparty right terminate agreement counterparty advance write    notice    day     Advanced Wireless Network Co Ltd AWN subsidiary hire MIMO Tech Co Ltd    MMT subsidiary operate point management arrange activity exchange product    service AWNs customer
3285,counterpar ty right terminate agreement    counterparty advance write notice    day
3286,    Advanced Wireless Network Co Ltd AWN subsidiary receive service provide outsource service AIS Digital Life Company Limited ADL subsidiary     note financial statement Advanced Info Service Public Company Limited subsidiary year end December    Chairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
3287,GovernanceManagement StructureInternal ControlFinancial Statement Annual Report    form    Report    l    Advanced Info Service Public Company Limited     ADVANCED    INFO    SERVICE    PUBLIC    COMPANY    LIMITED          subsidiary    note          FINANCIAL    statement          year    ended    DECEMBER              
3288,FINANCIAL    INSTRUMENTS    financial risk management policy    risk management integral business o f Group company
3289,Group     Company system control place c reate acceptable balance cost ris ks    occur cost manage risk
3290,m anagement continually monitor Groups    Companys risk management process ensure    appropriate balance risk control    achieve  
3291,capital management    Group Company aim manage capital    structure strong industry peer    commit investment grade rating
3292,ow Group Company retain superior    financial flexibility order capture future growth prospect
3293,Groups Companys financ ial    flexibility mean diversified source capital ease funding appropriate cost capital  
3294,interest rate risk    Interest rate risk risk future movement market interest rate affect result    Groups Companys operation cash    flow loan interest rate    float interest rate
3295,Group Company h ave interest rate risk borrowing    note
3296,Group Company mitigate r isk ensure majority borrowing    fix interest rate use derivative financial instrument principally interest rate swap       manage exposure fluctuation interest rate specific borrowing  
3297,interest rate swap contract    interest rate swap contract Group agree s exchange difference fix    float rate interest calculate agree    notional principal
3298,contract enable    Group mitigate risk change interest rate fair value issue fix rate debt hold    cash flow exposure issue variable rate debt hold
3299,fair value interest rate swa ps    reporting date determine discount future cash flow use curve repor ting    date credit risk inherent contract disclose
3300,average interest rate s base    outstanding balance end finan cial year  
3301,critical term interest rate swap con tract corresponding hedge item     Group perform qualitative assessment effectiveness expect value o f    interest rate swap contract value t correspond hedge item systematically    change opposite direction response movement underlying interest rate
3302,main sourc e    hedge ineffectiveness hedge relationship effect counterparty Group s    credit risk fair value interest r eat swap contract reflect f air    value hedge item attributable change    interest rate
3303,source ineffective ness    emerge hedge relationship    
3304,note financial statement Advanced Info Service Public Company Limited subsidiary year end December    Chairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
3305,GovernanceManagement StructureInternal ControlFinancial Statement Annual Report    form    Report    l    Advanced Info Service Public Company Limited     ADVANCED    INFO    SERVICE    PUBLIC    COMPANY    LIMITED          subsidiary    note          FINANCIAL    statement          year    ended    DECEMBER              
3306,following table detail information regard interest rate swap contract outstanding    end reporting period consolidated fin ancial statement relate hedge item  
3307,separate financial statement    nil  
3308,cash flow hedge      Unit    Million Baht     consolidated financial statement    Hedging instrument    Outstanding receive float      pay fix contract      contract fix    interest rate        notional principal     value    carrying     hedge    instrument    assetsliabilitie  
3309,December                    Interest rate swap            Interest rate swap                   Unit    Million Baht     consolidated financial statement    Hedging instrument    Outstanding receive float      pay fix contract      contract fix    interest rate    notional principal     value    carrying     hedge    instrument    assetsliabilitie  
3310,December                    Interest rate swap             Interest rate swap                    Unit    Million Baht      consolidated financial statement    hedge item     Nominal    hedge item liability    December        Variable rate borrowing        
3311,following table detail effectiveness th e hedging relationship reclassify    hedging reserve profit loss separate financial statement nil    Unit    Million Baht     consolidated financial statement    hedge item     current period hedge    gain recognise OCI        Variable rate borrowing       interest rate swap settle quarterly s emiannual basis
3312,float rate     interest rate swap THOR plus margin MTHBFI X plus margin
3313,Group settle    difference fix float interest rate net basis    
3314,note financial statement Advanced Info Service Public Company Limited subsidiary year end December    Chairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
3315,GovernanceManagement StructureInternal ControlFinancial Statement Annual Report    form    Report    l    Advanced Info Service Public Company Limited     ADVANCED    INFO    SERVICE    PUBLIC    COMPANY    LIMITED          subsidiary    note          FINANCIAL    statement          year    ended    DECEMBER              
3316,interest rate swap contract exchange float rate interest fix rate interest amo unt    designate cash flow hedge reduce Groups cash flow exposure result variable    interest rate borrowing
3317,interest rate swa ps interest payment loan occur    simultaneously accumulate equity    reclassify profit loss period    float rate interest payment debt affect profit loss    
3318,foreign currency risk    Group Company foreign currency risk relate expense purchase good equipment    denominate foreign currency
3319,Group Company primarily utilise forward    contract    year hedge financial liability denominate foreign currency    
3320,Group Company foreign currency risk respect financial asset liability denominate December    follow        Unit Million Baht      Notes Consolidated    separate      financial statement    financial statement              cash cash equivalent           Dollar usd         Euro EUR  
3321,       Total                Trade receivable         Dollar usd         Euro EUR         Yen JPY         Total                Trade payable          Dollar usd           Euro EUR         Yen JPY         Singapore Dollar SGD         Australian Dollar AUD         Total                  Lease liability         Dollar usd           Total                 gross statement financial      position exposure                 
3322,Forward contract         net exposure             Forward contract hold hedge currency risk gross statement financial position exposure s    December        retain future purchase        
3323,note financial statement Advanced Info Service Public Company Limited subsidiary year end December    Chairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
3324,GovernanceManagement StructureInternal ControlFinancial Statement Annual Report    form    Report    l    Advanced Info Service Public Company Limited     ADVANCED    INFO    SERVICE    PUBLIC    COMPANY    LIMITED          subsidiary    note          FINANCIAL    statement          year    ended    DECEMBER                Classification forward contract interest rate swap December    follow Separat e    financial statement    nil    Unit    Million Baht     Note consolidated       financial statement           current asset        current financial asset             Forward contract        Investment debt instrument        total current asset        Noncurrent asset        noncurrent financial asset                  Interest rate swap                 Investment debt instrument         total noncurrent asset        total asset              current liability        current financial liability        Forward contract        Interest rate swap        total current liability        Noncurrent liability        noncurrent financial liability        Interest rate swap        total noncurrent liability        total liability  
3325,      Total            note financial statement Advanced Info Service Public Company Limited subsidiary year end December    Chairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
3326,GovernanceManagement StructureInternal ControlFinancial Statement Annual Report    form    Report    l    Advanced Info Service Public Company Limited     ADVANCED    INFO    SERVICE    PUBLIC    COMPANY    LIMITED          subsidiary    note          FINANCIAL    statement          year    ended    DECEMBER                Movement forward contract interest rate swap year end December    consolidat ed    financial statement follow separate fina ncial statement    nil    Unit    Million Baht     Balance    Change     balance     January     fair value    December                 year      current asset          current financial asset         Forward contract       Investment debt instrument                NonCurrent asset          noncurrent financial asset        Interest rate swap         Investment debt instrument    
3327,            current liability        current financial liability        Forward contract        Interest rate swap              Noncurrent liability         noncurrent financial liability            Interest rate swap         Total        Unit    Million Baht     Balance    Change     balance     January     fair value    December                  year      current asset          current financial asset         Forward contract            NonCurrent asset       noncurrent financial asset       Interest rate swap              current liability         current financial liability        Forward contract              Noncurrent liability         noncurrent financial liability         Interest rate swap       Total            note financial statement Advanced Info Service Public Company Limited subsidiary year end December    Chairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
3328,GovernanceManagement StructureInternal ControlFinancial Statement Annual Report    form    Report    l    Advanced Info Service Public Company Limited     ADVANCED    INFO    SERVICE    PUBLIC    COMPANY    LIMITED          subsidiary    note          FINANCIAL    statement          year    ended    DECEMBER                follow table present valuation technique    financial instrument measure fair value    statement financial position significant change valuation technique unobservabl e    input period    
3329,Type Valuation technique    interest rate swap Swap model    present value estimate future cash flow    use observable yield curve   
3330,Forward contract base rate quote forward exchange rate f rom commercial bank    reporting date     
3331,nominal fair value forward cont ract interest rate swap December          follow     Unit Million Baht     consolidated financial statement     Nominal    Fair value                   Forward contract             Interest rate swap          Total          
3332,fair value forward contract value o f original contract Company enter     commercial bank end reporting period order reflect current value contr act   
3333,fair value interest rate swap value difference exchange rate original con tract    Company enter commercial bank end reporting period order reflect cu rrent    value contract  
3335,nominal value original contract Company enter commerci al    bank  
3336,credit risk     Credit risk potential financial loss resulti ng failure customer counterparty       settle financial contractual obligation    Group Company fall du e    Management credit policy place exp osure credit risk monitor ongoing    basis
3337,credit evaluation perform customer require credit certain
3338,th e    end reporting period significant concentration credit risk  
3339,liquidity risk    Group Company monitor liquidity risk maintain level cash cash equivalent     deem adequate management finance Group s Companys operation mitigate    effect fluctuation cash flow      note financial statement Advanced Info Service Public Company Limited subsidiary year end December    Chairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
3340,GovernanceManagement StructureInternal ControlFinancial Statement Annual Report    form    Report    l    Advanced Info Service Public Company Limited     ADVANCED    INFO    SERVICE    PUBLIC    COMPANY    LIMITED          subsidiary    note          FINANCIAL    statement          year    ended    DECEMBER                Fair value financial asset liability    financial asset liability measure fair v alue consolidated statement financial pos ition    December    follow separate financial statement December      nil    Unit Million Baht       consolidated financial statement     carrying    Fair value       Level     level     level     Total    December               Forward contract              Interest rate swap             Debentures             Investment debt instrument                        December               Forward contract              Interest rate swap             Debentures               Unit Million Baht       separate financial statement     carrying    Fair value       Level     level     level     Total    December               debenture                        December               Debentures             Fair value hierarchy    table analysis recur fair value measu rement financial asset
3341,fair value    measurement categorise different level fair value hierarchy base input    valuation technique use
3342,different level define follow    
3343,level    quote price unadjuste active marke ts identical asset liability Gro    Company access measurement date     
3344,level    input quote price include level    observable asset    liability directly indirectly    
3345,level    unobservable input asset liability    
3346,disclosure purpose Group determine level    fair value trade debenture    determine base quote sell price Thai Bond Market Association close    business end reporting period    
3347,disclosure purpose Group determine level     fair value forward contract calculate d    use rate quote Groups banker w hich base market condition exist    statement financial position date  
3348,fair value trade current receivabl es trade current payable    approximate carrying value  
3349,note financial statement Advanced Info Service Public Company Limited subsidiary year end December    Chairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
3350,GovernanceManagement StructureInternal ControlFinancial Statement Annual Report    form    Report    l    Advanced Info Service Public Company Limited     ADVANCED    INFO    SERVICE    PUBLIC    COMPANY    LIMITED          subsidiary    note          FINANCIAL    statement          year    ended    DECEMBER                fair value loan borrowing related party lease liability appr oximate    carrying value financial instrument bear interest market rate    
3351,fair value longterm borrowing approximate carrying value    financial instrument bear interest market rate     
3352,market risk       Group expose risk fair value future cash flow financial instrument fluctuate change market price
3353,Mark et risk follow     
3354,manage interest rate benchmark reform IBOR refor m     
3355,risk management committee monitor manage Groups transition alternative rate   
3356,committee evaluate extent contract reference IBOR cash flow    contract need amend result ib reform manage communication    IBOR reform counterpartie
3357,committee report Groups board director quarterly collaborate business function need
3358,provide periodic report management o f    interest rate risk risk arise IBOR reform    
3359,Groups main ibor exposure December     index THBFIX
3360,Group    finish process amend contractual term THBFIX index exposure    incorporate THOR December  
3361,Groups main ibor exposure December       index THBFIX
3362,Group amend contractual term THBFIX index exposure incorporate THOR December   
3363,respect remain THBFIX exposure    Group progress transition new benchmark rate   
3364,Group hold interest rate swap risk management purpose designate cash flow    hedge relationship
3365,interest rate swap float leg index THBFIX
3366,   Groups derivative instrument govern contract base International Swaps Derivatives Association isda
3367,master agreement     
3368,Group monitor progress transition IBOR new benchmark rate review total    contract transition alternative benchmark rate    contract include appropriate fallback clau se   
3369,follow table total financial instrument transition     alternative benchmark rate
3370,fina ncial asset financial liability     carry derivative notional      
3371,Unit Million Baht      consolidated     financial statement    key reference rate exist contract THBFIX     December       Longterm borrowing     Derivatives liability       note financial statement Advanced Info Service Public Company Limited subsidiary year end December    Chairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
3372,GovernanceManagement StructureInternal ControlFinancial Statement Annual Report    form    Report    l    Advanced Info Service Public Company Limited     ADVANCED    INFO    SERVICE    PUBLIC    COMPANY    LIMITED          subsidiary    note          FINANCIAL    statement          year    ended    DECEMBER              
3373,commitment       nonrelate    party    commitment nonrelate party December     follow    Unit Million     note    Consolidated    separate       financial statement    financial statement               Capital commitment        unrecognised contractual commitment              building equipment         Thai Baht THB          Dollar usd              Service maintenance        Thai Baht THB         Dollars usd                Purchase order good supply           Thai Baht THB         Dollars usd        unit
3374,million Baht     consolidated     financial statement         noncancellable operating lease         commitment    
3375,year      year year      total        Group record rental expense operat ing lease agreement shortterm lease     lease low value asset consolidated statement profit loss year end Dece mber         Baht    million    Bah    million respectively separate financial s tatement     nil  
3376,Unit Million Baht     Consolidated    separate     financial statement    financial statement             commitment         Thai Baht        Forward contract        Bank guarantee         Spectrum license payable                Total             note financial statement Advanced Info Service Public Company Limited subsidiary year end December    Chairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
3377,GovernanceManagement StructureInternal ControlFinancial Statement Annual Report    form    Report    l    Advanced Info Service Public Company Limited     ADVANCED    INFO    SERVICE    PUBLIC    COMPANY    LIMITED          subsidiary    note          FINANCIAL    statement          year    ended    DECEMBER                significant agreement  
3378,Group enter lease related service agreement office space period range        year    year option renew  
3379,   Group enter service agreement company Group receive     service relate network station general service state agreement
3380,   Group shall pay service fee service rate state agreement
3381,agreement    terminate party submit advance write notice    day  
3382,   January     Advanced Wireless Network Co Ltd AWN subsidiary enter    service agreement National Telecom Public Company Limited NT receive service    relate national roaming service period March     August     
3383,AWN letter irrecoverable guarantee dome stic commercial bank Baht    million    use collateral period agreement  
3384,   January     Super Broadband Network Co Ltd SBN subsidiary enter    rental agreement National Telecom Public Compa ny Limited NT provide    telecommunication equipment rental period March     August  
3385,sbn letter irrecoverable guarantee domestic com mercial bank Baht    million use    collateral period agreement  
3386,   September     Group mutually agree National Telecom Public Company    Limited NT enter Dispute Resolution Agreement provide Telecommunication    Equipment Tower Service Note
3387,Group receive rental service telecommunication    equipment tower NT period January     December  
3388,Group    letter irrecoverable guarantee domestic com mercial bank Baht    million use    collateral period agreement  
3390,significant    event    commercial    dispute       LITIGATIONS    Company      mhz subscriber migration G    mhz     September     National Telecom Public Company Limited NT submit dispute    black case    Arbitration Institute demand Company pay compensation    breach Concession Agreement th e Company NT regard Company    port    mhz subscriber G    mhz system provide subsidiary   
3391,compensation claim baht    million bear interest    annum September     pay  
3392,March     NT submit revision amend compensation period       September    end date operation agreement Baht    million plus vat    interest    month June    pay  
3393,February     Arbitral Tribunal dismiss black case Company    breach agreement   
3394,    NT submit black case Central Administrative Court revoke    arbitrament
3395,currently case process Central Administrative Court
3396,note financial statement Advanced Info Service Public Company Limited subsidiary year end December    Chairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
3397,GovernanceManagement StructureInternal ControlFinancial Statement Annual Report    form    Report    l    Advanced Info Service Public Company Limited     ADVANCED    INFO    SERVICE    PUBLIC    COMPANY    LIMITED          subsidiary    note          FINANCIAL    statement          year    ended    DECEMBER                Companys management believe outcome dispute settle favourably    considerable impact financial statement company
3399,claim additional revenue th th Amendments Agreement operation    Agreement    September     Company submit disp ute Black case       Arbitration Institute Court Justice verdict th Amendment date        th Amendment date September     Agreeme operation conduct business    Cellular Mobile Telephone
3400,amendment bind t Company National Telecom Public    Company Limited NT comply amendment s Agreements end date operation    Company obligation pay additional    revenue
3401,accord letter NT date    September     NT request payment add itional revenue Baht    million    company
3402,NT claim amendment subst antially revise cause NT receive    low revenue rate specify Agreement operation  
3403,November     NT submit dispute Black case Arbitration    Institute decrease claim Baht     million accord percentage    adjustment revenue sharing
3404,case sam e dispute Black case      Arbitration Committee try case  
3405,Company receive arbitrament Arbit ration Committee date January         majority vote order Company pay additio nal remuneration Baht    million    interest rate    percent month NT day November     amo unt    pay
3406,Company disagree decision Apr il     Company file request    revocation award Central Administrative Court Black case   
3407,April     NT request revocation t decision Arbitration Committee    Central Administrative Court nts claim Baht    million relate claim iod     black case
3409,July     Central Administrative Court decide revoke Arbitration Committees    verdict th th Amendments Agreement bind e ffect party  
3410,Company pay additional revenue claim NT  
3411,August     NT appeal judgment    Central Administrative Court Supreme    Administrative Court  
3412,accordingly dispute finalise Company    s management consider    ultimate resolution dispute considerable impact financial statem ent    Company    
3413,note financial statement Advanced Info Service Public Company Limited subsidiary year end December    Chairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
3414,GovernanceManagement StructureInternal ControlFinancial Statement Annual Report    form    Report    l    Advanced Info Service Public Company Limited     ADVANCED    INFO    SERVICE    PUBLIC    COMPANY    LIMITED          subsidiary    note          FINANCIAL    statement          year    ended    DECEMBER              
3415,Company submit claim Central Admini strative Court revocation National    Telecommunication Commissions order regard revenue incur temporary service       mhz customer protection period Concession end        Company file lawsuit office National Broadcasting    Telecommunication Committee NBTC office Na tional Telecommunication Committee    NTC National Broadcasting Telecommunication Committee NBTC    person Central Administrative Court Black case    revoke NBTC office letter resolution order Company pay revenue subscriber    protection period    expiration Concession agreement October     June     Baht    million plus interest  
3416,June     Company receive indictment date April     NBTC    NBTC office file lawsuit black case n o    Company    Central Administration Court order Company pay revenue customer    protection period  
3417,June     Central Administrative Court revoke NBTCs order ground       MHzs customer protection period th e Companys expense incur service    exceed revenue generate  
3418,July     July     NBTC    NBTC office appeal Supreme    Administrative Court
3419,Companys management consider Co mpany comply NBTC announcement    regard Temporary Customer Protection Plan follow Expiration Agreement    operation Telecommunication Service Agreement Company oblige submit    revenue deduct expense NBTC office Companys expense incur    service great revenue
3420,th e Company remain revenue submit    NBTC Office stipulate announcement     Claim additional revenue sharing rental charge provide transmission service     National Telecom Public Company Limited NT submit dispute
3421,date January      Arbitration Institute demand Company pay additional revenue sharing    rental charge transmission system October    September    totalling Baht     million include vat plus default interest rate    month
3422,accord NTs view Company collect rental charge s transmission system rate specify    NT high rate Company charge tenant    
3423,December     Company receive award Arbitration Committee revoke nts    dispute claim reason claim garde rental charge transmission syst em    dispute relation compliance th e NBTCs notification dispute relat ion    Concession Agreement   
3424,Company s management believe Company correctly comply relate    condition Agreement respect outcome dispute materially    impact financial statement Company      note financial statement Advanced Info Service Public Company Limited subsidiary year end December    Chairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
3425,GovernanceManagement StructureInternal ControlFinancial Statement Annual Report    form    Report    l    Advanced Info Service Public Company Limited     ADVANCED    INFO    SERVICE    PUBLIC    COMPANY    LIMITED          subsidiary    note          FINANCIAL    statement          year    ended    DECEMBER                 Claim usage colocation site facility    related equipment rental asset provide    temporary customer protection period aft er Cellular Mobile Telephone Concession    end     February     National Telecom Public Company Limited     NT     submit dispute    
3426,Arbitration Institute Ministry Justice Thailand Arbitration Center THAC    claim usage fee co location site facility relate equipment rental asset     Cellular Mobile Telephone Concession temporary customer protection period    Concession end
3427,claimed Baht    million include vat plus default    interest rate    month  
3428,April     Company submit dispute Black case NoKor Central    Administrative Court revoke THACs order consideration dispute  
3429,April     Central Administrative Court    dismiss black case Kor  
3430,subsequently     Company appeal dismissal black case Kor     October     NT file petition Cen tral Administrative Court withdraw dispute    THAC
3431,February     Arbitration Committee owe NT submit petition dismiss    dispute
3432,August     Company receive copy black case    date June     
3433,currently case process Central Administrative Court  
3434,Company s management believe Company correctly comply relate    condition Agreement announcement National Broadcasting    Telecommunication Committee respect    outcome dispute settle    favourably materially impact financial statement Company     Claim revenue sharing provision roam service     September     National Telecom Public Company Limited NT submit dispute    black case    Arbitration Institute claim revenue sharing roam service company
3435,NT claim Company discount service fee prior consent NT July    September    demand baht    million plus valueadde    tax bear default interest rate    month  
3436,Company receive decision Arbitration Committee date February         majority vote dismiss case NT  
3437,    NT submit petition Central Administrative Court Black case        request dismissal award  
3438,currently case process Central Administrative Court  
3439,Companys management believe Company correctly comply relate condition    Agreement respect outcome dispute materially impact    financial statement company   
3440,note financial statement Advanced Info Service Public Company Limited subsidiary year end December    Chairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
3441,GovernanceManagement StructureInternal ControlFinancial Statement Annual Report    form    Report    l    Advanced Info Service Public Company Limited     ADVANCED    INFO    SERVICE    PUBLIC    COMPANY    LIMITED          subsidiary    note          FINANCIAL    statement          year    ended    DECEMBER                Digital Phone Company Limited DPC  
3442,claim usagerevenue arise e telecommunication equipment    telecommunication network temporary customer protection period Concession    end        National Telecom Public Compan y Limited NT file lawsuit    office National Broadcasting Telecommuni cation Committee NBTC Office National    Telecommunication Committee NTC National Broad casting Telecommunication Committee    NBTC true Company Limited True DPC Central Administrative Court    Black case
3443,lawsuit ask defendant pay fee compensation    usage telecommunication equipment telecommun ication network NT temporary    customer protection period subject announcement NBTC regard Temporary Customer Protection Plan follow Expiration agr eement operation Telecommunication Service    Agreement
3444,fee compensation calcula te period September        September  
3445,total follow s     NBTC Office NTC NBTC Baht    million plus interest rate     annum     true NBTC office NTC NBTC Baht    million plus interest    rate    annum
3446,    DPC NBTC Office NTC NBTC Baht    million plus interest rate    annum  
3447,September     NT file lawsuit Central Administrative Court Black case        claim usage feesrevenue    usage telecommunication equipment    telecommunication network NT September     July  
3448,total    follow     NBTC Office NTC NBTC Baht    m illion plus interest rate     annum     true NBTC office NTC NBTC Baht    million plus interest    rate    annum  
3449,   DPC NBTC Office NTC NBTC Baht    million plus interest rate    annum   
3450,    NT file lawsuit Central Administrative Court Black case        claim usage feesrevenue usage telecommunication equipment telecommunication network NT July     November  
3451,total follow     NBTC Office NTC NBTC Baht    m illion plus interest rate     annum  
3452,   true NBTC office NTC NBTC Baht    million plus interest    rate    annum
3453,    DPC NBTC Office NTC NBTC Baht     million plus interest rate     annum  
3454,note financial statement Advanced Info Service Public Company Limited subsidiary year end December    Chairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
3455,GovernanceManagement StructureInternal ControlFinancial Statement Annual Report    form    Report    l    Advanced Info Service Public Company Limited     ADVANCED    INFO    SERVICE    PUBLIC    COMPANY    LIMITED          subsidiary    note          FINANCIAL    statement          year    ended    DECEMBER                December    DPC receive request t Central Administrative Court amend    claim petition file NT September     follow    black case      NBTC Office NTC NBTC Baht    m illion plus interest rate     annum     true NBTC office NTC NBTC Baht    million plus interest    rate    annum     DPC NBTC Office NTC NBTC Baht     million plus interest rate       annum  
3456,black case      NBTC Office NTC NBTC Baht    m illion plus interest rate     annum  
3457,   true NBTC office NTC NBTC Baht    million plus interest rate    annum
3458,    DPC NBTC Office NTC NBTC Baht     million plus interest rate       annum  
3459,black case      NBTC Office NTC NBTC Baht    m illion plus interest rate     annum  
3460,   true NBTC office NTC NBTC Baht    million plus interest rate    annum
3461,    DPC NBTC Office NTC NBTC Baht     million plus interest rate       annum  
3462,April     Central Administrative Court    dismiss case DPC black case          total request DPC Baht    million
3463,court    order NBTC pay NT Baht    million include interest
3464,NT NBTC right appeal Supreme Administrative Court    day date adjudication Central    Administrative Court  
3465,    NT file appeal regard Black Case
3466,         Supreme Administrative Court Black Case
3469,DPC receive    notification Supreme Administrative Court August     October      respectively
3470,currently case consideration Supreme Administrative Court  
3471,December     Central Administrative Co urt dismiss case DPC    Black case    total request DPC Baht    million
3472,management Group believe DPC n o obligation pay usage fee    compensation usage telecommunication equipment telecommunication network    claim NT DPC comply announcement NBTC
3473,outcome    dispute settle favourably considerable impact consolidated financia l    statement Group  
3474,note financial statement Advanced Info Service Public Company Limited subsidiary year end December    Chairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
3475,GovernanceManagement StructureInternal ControlFinancial Statement Annual Report    form    Report    l    Advanced Info Service Public Company Limited     ADVANCED    INFO    SERVICE    PUBLIC    COMPANY    LIMITED          subsidiary    note          FINANCIAL    statement          year    ended    DECEMBER              
3476,claim revocation National Telecommun ication Committees NTC order regard    revenue incur temporary service dur ing customer protection period    Concession end    November     DPC file lawsuit t National Broadcasting Telecommunication    Committee NBTC Central Administrative Co urt case
3477,file lawsuit    revoke NTC resolution office NBTC demand DPC deliver revenue    consumer protection period Septembe r     July     Baht     million  
3478,case September     NBTC nd office National Broadcasting    Telecommunication Committee NBTC office file    complaint Central Administrative Court    Black Case
3479,complaint req ueste DPC deliver revenue sharing    consumer protection period September     July  
3480,claim baht     million include interest submit dat e Baht    million plus interest rate     annum claim submit da te DPC deliver revenue sharing  
3481,September     NTC issue letter infor ming resolution allow DPC deliver th e    revenue service income protecti subscriber total Baht    million  
3482,NBTC order DPC provide paym ent Baht    million period    remain pay baht    mil lion
3483,subsequently December     DPC    file lawsuit Central Administrative Court revoke resolution NTC  
3484,June     Central Administrative Court order merger case
3485,March     Central Administrative Court    revoke NTCs resolution order    DPC deliver revenue service income protection subscriber tot al    Baht    million
3486,reason DPC expense incur provision    service great revenue generate  
3487,April     NBTC submit appeal Supreme Administrative Court DPC    receive order raise counterappeal June    
